,path,s,n,a
6152,data/mat_data/Blaine\Falls PM\BLFPM29\b29.csv,3733.0,56,66.66071428571429
6153,data/mat_data/Blaine\Falls PM\BLFPM29\b29.csv,3739.0,57,65.59649122807018
6154,data/mat_data/Blaine\Falls PM\BLFPM29\b29.csv,3740.0,56,66.78571428571429
6155,data/mat_data/Blaine\Falls PM\BLFPM29\b29.csv,3722.0,54,68.92592592592592
6156,data/mat_data/Blaine\Falls PM\BLFPM29\b29.csv,3732.0,56,66.64285714285714
6157,data/mat_data/Blaine\Falls PM\BLFPM29\b29.csv,3743.0,55,68.05454545454545
6158,data/mat_data/Blaine\Falls PM\BLFPM29\b29.csv,3765.0,56,67.23214285714286
6159,data/mat_data/Blaine\Falls PM\BLFPM29\b29.csv,3750.0,55,68.18181818181819
6160,data/mat_data/Blaine\Falls PM\BLFPM29\b29.csv,3753.0,55,68.23636363636363
6161,data/mat_data/Blaine\Falls PM\BLFPM29\b29.csv,3781.0,56,67.51785714285714
6162,data/mat_data/Blaine\Falls PM\BLFPM29\b29.csv,3767.0,56,67.26785714285714
6163,data/mat_data/Blaine\Falls PM\BLFPM29\b29.csv,3780.0,57,66.3157894736842
6164,data/mat_data/Blaine\Falls PM\BLFPM29\b29.csv,3754.0,54,69.51851851851852
6165,data/mat_data/Blaine\Falls PM\BLFPM29\b29.csv,3699.0,54,68.5
6166,data/mat_data/Blaine\Falls PM\BLFPM29\b29.csv,3758.0,54,69.5925925925926
6167,data/mat_data/Blaine\Falls PM\BLFPM29\b29.csv,3743.0,55,68.05454545454545
6168,data/mat_data/Blaine\Falls PM\BLFPM29\b29.csv,3752.0,55,68.21818181818182
6169,data/mat_data/Blaine\Falls PM\BLFPM29\b29.csv,3751.0,55,68.2
6170,data/mat_data/Blaine\Falls PM\BLFPM29\b29.csv,3757.0,55,68.30909090909091
6171,data/mat_data/Blaine\Falls PM\BLFPM29\b29.csv,3771.0,57,66.15789473684211
6172,data/mat_data/Blaine\Falls PM\BLFPM29\b29.csv,3735.0,56,66.69642857142857
6173,data/mat_data/Blaine\Falls PM\BLFPM29\b29.csv,3725.0,56,66.51785714285714
6174,data/mat_data/Blaine\Falls PM\BLFPM29\b29.csv,3704.0,56,66.14285714285714
6175,data/mat_data/Blaine\Falls PM\BLFPM29\b29.csv,3690.0,56,65.89285714285714
6176,data/mat_data/Blaine\Falls PM\BLFPM29\b29.csv,3686.0,56,65.82142857142857
6177,data/mat_data/Blaine\Falls PM\BLFPM29\b29.csv,3705.0,56,66.16071428571429
6178,data/mat_data/Blaine\Falls PM\BLFPM29\b29.csv,3705.0,56,66.16071428571429
6179,data/mat_data/Blaine\Falls PM\BLFPM29\b29.csv,3701.0,57,64.9298245614035
6180,data/mat_data/Blaine\Falls PM\BLFPM29\b29.csv,3714.0,57,65.15789473684211
6181,data/mat_data/Blaine\Falls PM\BLFPM29\b29.csv,3698.0,56,66.03571428571429
6182,data/mat_data/Blaine\Falls PM\BLFPM29\b29.csv,3705.0,56,66.16071428571429
6183,data/mat_data/Blaine\Falls PM\BLFPM29\b29.csv,3728.0,57,65.40350877192982
6184,data/mat_data/Blaine\Falls PM\BLFPM29\b29.csv,3707.0,56,66.19642857142857
6185,data/mat_data/Blaine\Falls PM\BLFPM29\b29.csv,3714.0,57,65.15789473684211
6186,data/mat_data/Blaine\Falls PM\BLFPM29\b29.csv,3714.0,56,66.32142857142857
6187,data/mat_data/Blaine\Falls PM\BLFPM29\b29.csv,3728.0,56,66.57142857142857
6188,data/mat_data/Blaine\Falls PM\BLFPM29\b29.csv,3726.0,56,66.53571428571429
6189,data/mat_data/Blaine\Falls PM\BLFPM29\b29.csv,3728.0,56,66.57142857142857
6190,data/mat_data/Blaine\Falls PM\BLFPM29\b29.csv,3712.0,55,67.49090909090908
6191,data/mat_data/Blaine\Falls PM\BLFPM29\b29.csv,3733.0,55,67.87272727272727
6192,data/mat_data/Blaine\Falls PM\BLFPM29\b29.csv,3718.0,55,67.6
6193,data/mat_data/Blaine\Falls PM\BLFPM29\b29.csv,3723.0,55,67.69090909090909
6194,data/mat_data/Blaine\Falls PM\BLFPM29\b29.csv,3722.0,56,66.46428571428571
6195,data/mat_data/Blaine\Falls PM\BLFPM29\b29.csv,3726.0,56,66.53571428571429
6196,data/mat_data/Blaine\Falls PM\BLFPM29\b29.csv,3714.0,55,67.52727272727273
6197,data/mat_data/Blaine\Falls PM\BLFPM29\b29.csv,3714.0,55,67.52727272727273
6198,data/mat_data/Blaine\Falls PM\BLFPM29\b29.csv,3731.0,57,65.45614035087719
6199,data/mat_data/Blaine\Falls PM\BLFPM29\b29.csv,3720.0,55,67.63636363636364
6200,data/mat_data/Blaine\Falls PM\BLFPM29\b29.csv,3728.0,55,67.78181818181818
6201,data/mat_data/Blaine\Falls PM\BLFPM29\b29.csv,3740.0,55,68.0
6202,data/mat_data/Blaine\Falls PM\BLFPM29\b29.csv,3725.0,55,67.72727272727273
6203,data/mat_data/Blaine\Falls PM\BLFPM29\b29.csv,3747.0,56,66.91071428571429
6204,data/mat_data/Blaine\Falls PM\BLFPM29\b29.csv,3731.0,54,69.0925925925926
6205,data/mat_data/Blaine\Falls PM\BLFPM29\b29.csv,3768.0,56,67.28571428571429
6206,data/mat_data/Blaine\Falls PM\BLFPM29\b29.csv,3753.0,55,68.23636363636363
6207,data/mat_data/Blaine\Falls PM\BLFPM29\b29.csv,3765.0,56,67.23214285714286
6208,data/mat_data/Blaine\Falls PM\BLFPM29\b29.csv,3757.0,55,68.30909090909091
6209,data/mat_data/Blaine\Falls PM\BLFPM29\b29.csv,3791.0,57,66.50877192982456
6210,data/mat_data/Blaine\Falls PM\BLFPM29\b29.csv,3747.0,55,68.12727272727273
6211,data/mat_data/Blaine\Falls PM\BLFPM29\b29.csv,3767.0,55,68.49090909090908
6212,data/mat_data/Blaine\Falls PM\BLFPM29\b29.csv,3769.0,56,67.30357142857143
6213,data/mat_data/Blaine\Falls PM\BLFPM29\b29.csv,3764.0,56,67.21428571428571
6214,data/mat_data/Blaine\Falls PM\BLFPM29\b29.csv,3772.0,57,66.17543859649123
6215,data/mat_data/Blaine\Falls PM\BLFPM29\b29.csv,3755.0,56,67.05357142857143
6216,data/mat_data/Blaine\Falls PM\BLFPM29\b29.csv,3792.0,59,64.27118644067797
6217,data/mat_data/Blaine\Falls PM\BLFPM29\b29.csv,3773.0,56,67.375
6218,data/mat_data/Blaine\Falls PM\BLFPM29\b29.csv,3761.0,57,65.98245614035088
6219,data/mat_data/Blaine\Falls PM\BLFPM29\b29.csv,3760.0,56,67.14285714285714
6220,data/mat_data/Blaine\Falls PM\BLFPM29\b29.csv,3757.0,56,67.08928571428571
6221,data/mat_data/Blaine\Falls PM\BLFPM29\b29.csv,3733.0,54,69.12962962962963
6222,data/mat_data/Blaine\Falls PM\BLFPM29\b29.csv,3739.0,54,69.24074074074075
6223,data/mat_data/Blaine\Falls PM\BLFPM29\b29.csv,3760.0,55,68.36363636363636
6224,data/mat_data/Blaine\Falls PM\BLFPM29\b29.csv,3752.0,56,67.0
6225,data/mat_data/Blaine\Falls PM\BLFPM29\b29.csv,3748.0,55,68.14545454545454
6226,data/mat_data/Blaine\Falls PM\BLFPM29\b29.csv,3743.0,55,68.05454545454545
6227,data/mat_data/Blaine\Falls PM\BLFPM29\b29.csv,3761.0,56,67.16071428571429
6228,data/mat_data/Blaine\Falls PM\BLFPM29\b29.csv,3761.0,55,68.38181818181818
